journey_id,journey_name,sent_nb,opening_nb,click_nb,turnover
1661,210721_nlbe_fete_nat_sto_nl,8,,,
1722,210815_nlbe_binchotan_nosto_nl,10,,,
1707,210808_nlbe_summer_sto_nl,10,,,
1624,210707_nlbe_interieur_nosto_nl,6,,,
1691,210801_nlbe_finsoldes_nosto_nl,9,,,
1608,210630_nl_happy_hour_18h,30,,,"2,292.10"
1681,210728_nlbe_bento_nosto_nl,9,,,
1652,210718_nlbe_en_promos_nosto_nl,8,,,
1728,210818_nlbe_coton_sto_nl,11,1,,
1741,210822_nlbe_apero_sto_nl,10,1,,
1751,210825_nlbe_feculents_sto_nl,16,1,,
1638,210711_nlbe_suite_soldes_nosto_nl,6,1,,
968,nlbecrm_relance_back_in_stock_nl,1,1,,
1645,210714_nlbe_briller_nosto_nl,8,1,,
1616,210704_nlbe_soldes_sto_nl,7,1,,
1639,210711_nlbe_suite_soldes_sto_nl,7,1,,
1672,210725_nlbe_last_soldes_nosto_nl,7,2,,
1692,210801_nlbe_finsoldes_sto_nl,7,2,,
1714,210811_nlbe_fruitsec_nosto_nl,10,2,,
1699,210804_nlbe_drinks_nosto_nl,7,2,,
1623,210707_nlbe_interieur_sto_nl,7,2,,
1729,210818_nlbe_coton_nosto_nl,7,2,,
1742,210822_nlbe_apero_nosto_nl,7,2,,
1713,210811_nlbe_fruitsec_sto_nl,7,2,,
1653,210718_nlbe_en_promos_sto_nl,7,2,,
1680,210728_nlbe_bento_sto_nl,7,2,,
1662,210721_nlbe_fete_nat_nosto_nl,7,2,,
1644,210714_nlbe_briller_sto_nl,7,3,,
1706,210808_nlbe_summer_nosto_nl,7,3,,
1748,2108_nl_marketplace_1,12,7,,
1648,210719_nl_animaux,85992,17614,1024,"1,216.80"
1686,210801_nl_ete,95514,20544,1536,"5,663.47"
1673,210725_nlbe_last_soldes_sto_nl,9,1,1,
765,nlbecrm_relance_panier_abandonne_j1,5,1,1,
1698,210804_nlbe_drinks_sto_nl,9,1,1,
1599,210630_nlbe_fin_presoldes_sto,12,2,1,
1720,210815_nlbe_binchotan_sto_nl,7,3,1,
967,nlbecrm_relance_back_in_stock,7,5,1,
1615,210704_nlbe_soldes_nosto_nl,8,2,2,
1625,210706_nl_paniers,74,13,2,
1658,210721_nl_hh_midi,51,14,3,
1700,210805_nl_enfant_1,15307,2471,259,"1,694.05"
1627,210706_nl_paniersbis,26,10,4,
1610,210701_nl_paniers,104,22,5,
1637,210711_nl_championne2,52033,10668,1029,"4,289.70"
1711,210811_nlbe_fruitsec_nosto,1192,222,7,
1609,210701_nl_mif,107812,20869,2312,"6,987.62"
1726,210818_nlbe_coton_nosto,1327,229,9,
1665,210722_nl_cuisine,78826,11471,1289,"2,008.08"
1651,210718_nlbe_en_promos_sto,1317,230,12,
1622,210707_nlbe_interieur_sto,1200,235,14,
1678,210728_nlbe_bento_sto,1328,248,14,
1605,210701_nl_corse,242,51,15,38.79
1619,210705_nl_commandes_MKP_s1,421,108,15,
1650,210718_nlbe_en_promos_nosto,1215,217,15,
1621,210707_nlbe_interieur_nosto,1308,244,15,
1721,210815_nlbe_binchotan_nosto,1200,172,16,
1727,210818_nlbe_coton_sto,1203,223,16,
1643,210714_nlbe_briller_sto,1320,244,16,
1740,210822_nlbe_apero_nosto,1336,228,17,
1642,210714_nlbe_briller_nosto,1217,218,18,
1712,210811_nlbe_fruitsec_sto,1318,257,19,
1689,210801_nlbe_finsoldes_nosto,1210,231,19,
1636,210711_nlbe_suite_soldes_sto,1210,240,19,
1659,210721_nlbe_fete_nat_nosto,1328,232,20,
1739,210822_nlbe_apero_sto,1209,238,20,
1718,210815_nlbe_binchotan_sto,1324,251,20,
1635,210711_nlbe_suite_soldes_nosto,1315,274,21,
1690,210801_nlbe_finsoldes_sto,1336,256,22,
1697,210804_nlbe_drinks_sto,1197,235,22,
1696,210804_nlbe_drinks_nosto,1331,265,23,
1705,210808_nlbe_summer_sto,1189,218,24,
1634,210711_nl_championne1,52497,10698,1048,"3,327.42"
1679,210728_nlbe_bento_nosto,1215,215,26,
1704,210808_nlbe_summer_nosto,1325,269,27,
1745,crm_relance_back_in_stock,136,83,27,159.98
1750,210825_nlbe_feculents_sto,2818,479,27,
1660,210721_nlbe_fete_nat_sto,1219,218,29,
1614,210704_nlbe_soldes_sto,1301,251,30,
1612,210704_nl_bb,29475,5892,1058,"7,926.49"
1613,210704_nlbe_soldes_nosto,1208,252,35,
1670,210725_nlbe_last_soldes_sto,1223,222,37,
1671,210725_nlbe_last_soldes_nosto,1332,250,37,
69,crm_relance_panier_abandonne_h2_j1,18219,5921,1318,"17,331.18"
1640,210712_nl_coco,73970,15746,1319,"2,033.03"
1708,210809_nl_frais_1,47266,10048,811,"1,455.71"
271,crm_relance_back_in_stock,259,159,49,850.06
1683,210729_nl_maison_sans_prenom,39373,7811,1084,648.04
1647,210715_nl_bach,62326,15093,1597,"2,327.77"
1725,210817_nl_bureau,39797,7845,830,974.41
1738,210822_nl_djsummer_min,86434,12288,1086,"8,152.10"
1626,210707_nl_happyhour,117230,21856,1600,"6,708.24"
1629,210708_nl_bb,24336,4998,582,"1,586.21"
1668,210725_nl_potager_photo,62652,10110,839,"1,604.31"
1715,210812_nl_bb,24295,3892,331,"2,317.30"
1654,210721_nl_hh_carre,76202,11733,1099,"4,033.34"
1703,210808_nl_nouveaute,109917,22190,1867,"8,067.80"
1717,210813_nl_destockage,91474,17770,1872,"4,625.72"
1735,210819_nl_generale,85600,16469,1368,"3,306.17"
1682,210729_nl_maison_prenom,39479,7915,1114,450.9
1669,210725_nl_potager_montage,62402,10114,873,"1,436.52"
1666,210722_nl_bb,22817,2778,366,"1,402.76"
1723,210816_nl_summer_fonce,83743,13178,1902,"2,957.40"
1664,COPY_OF_210721_nl_hh_midi,111497,15981,1392,"3,841.09"
1746,210824_nl_sdb_nosto,58847,11997,1137,"2,574.34"
1618,210705_nl_biochef,85703,18933,1907,"4,509.96"
1702,210805_nl_generale,77182,18367,1662,"9,548.42"
1752,210825_nl_bb_a,11466,1894,137,27.3
1688,210802_nl_menage_B,52272,10670,908,"2,106.90"
1687,210802_nl_menage_A,47046,10893,911,"1,664.29"
1646,210715_nl_bb,25398,4232,403,836.33
1641,210713_nl_boisson,47667,6229,404,707.67
1630,210708_nl_sdb,78918,15204,1173,939.82
1628,210707_nl_happyhour_12h,107484,23486,1697,"6,016.35"
1737,210822_nl_djsummer_maj,86699,12393,1187,"5,634.90"
1675,210727_nl_djsoldes,165553,24829,3236,"13,577.31"
1684,210729_nl_bb,25344,3761,426,681.46
1734,210819_nl_bb,26121,4251,438,"2,108.32"
1695,210803_nl_naturel,39325,7645,701,"1,299.93"
1656,210720_nl_troisieme_prenom,63980,11139,1470,"3,940.82"
1736,210819_nl_vip,13649,3861,451,"6,498.63"
1657,210720_nl_troisieme,63973,11285,1477,"3,895.72"
1719,210815_nl_djfrais,109433,19481,1480,"3,619.60"
1744,210823_nl_zd,138964,22751,1998,"5,611.24"
1724,210816_nl_summer_clair,83487,12392,1752,"3,096.48"
1649,210718_nl_sport,96942,19902,1243,"1,249.09"
1620,210706_nl_deuxieme,170295,29561,4831,"12,739.59"
1674,210726_nl_rentree,86297,17963,1255,"1,848.56"
1710,210810_nl_saveurs,39446,6189,490,582.81
1716,210812_nl_plans,66651,16754,1263,"5,957.28"
1747,210824_nl_sdb_sto,58826,12649,1269,"3,560.81"
1701,210805_nl_enfant_2,15151,2464,246,"1,516.42"
1709,210809_nl_frais_2,47169,10120,759,"1,577.45"
1676,210727_nl_lastday_18H,148955,17185,2041,"5,577.51"
1617,210704_nl_valise,88135,17792,1787,"2,372.81"
1655,210721_nl_hh_pillule,75860,11562,1022,"3,538.65"